,CustomerKey,BirthDate,YearlyIncome,TotalChildren,EnglishEducation,EnglishOccupation,NumberCarsOwned,CommuteDistance,Age,BikeBuyer
59,11059,4/1/1954,80000,2,Partial College,Skilled Manual,2,5-10 Miles,61,0
60,11060,3/17/1954,80000,2,Partial College,Skilled Manual,2,5-10 Miles,61,1
61,11061,2/27/1954,80000,2,Partial College,Skilled Manual,2,5-10 Miles,61,1
62,11062,9/2/1975,40000,0,High School,Skilled Manual,2,5-10 Miles,40,1
63,11063,4/7/1975,40000,0,High School,Skilled Manual,2,5-10 Miles,40,1
64,11064,12/7/1975,40000,0,High School,Skilled Manual,2,5-10 Miles,39,1
65,11065,10/9/1973,60000,0,Partial College,Skilled Manual,2,1-2 Miles,41,0
66,11066,11/27/1973,70000,0,Partial College,Professional,2,5-10 Miles,41,0
67,11067,9/25/1976,60000,0,Partial College,Professional,2,5-10 Miles,38,0
68,11068,9/23/1955,80000,2,High School,Skilled Manual,2,5-10 Miles,59,0
69,11069,9/21/1955,80000,2,High School,Skilled Manual,2,1-2 Miles,59,1
70,11070,4/5/1955,80000,2,High School,Skilled Manual,2,5-10 Miles,60,1
71,11071,6/26/1955,80000,2,High School,Skilled Manual,2,5-10 Miles,60,0
72,11072,2/6/1955,80000,2,High School,Skilled Manual,2,1-2 Miles,60,1
73,11073,8/14/1956,70000,2,High School,Skilled Manual,2,5-10 Miles,59,0
74,11074,8/28/1956,70000,2,High School,Skilled Manual,2,5-10 Miles,59,0
75,11075,11/16/1957,80000,2,High School,Professional,2,5-10 Miles,57,1
76,11076,7/13/1957,80000,2,High School,Professional,2,5-10 Miles,58,1
77,11077,9/19/1957,80000,2,High School,Professional,2,1-2 Miles,57,1
78,11078,1/10/1974,40000,0,High School,Professional,2,1-2 Miles,41,0
79,11079,3/11/1959,160000,0,Graduate Degree,Management,2,0-1 Miles,56,0
80,11080,7/17/1959,170000,0,Graduate Degree,Management,2,0-1 Miles,56,1
81,11081,7/24/1966,120000,2,Bachelors,Management,3,2-5 Miles,49,0
82,11082,8/4/1966,130000,0,Graduate Degree,Management,3,1-2 Miles,49,1
83,11083,3/15/1966,130000,0,Graduate Degree,Management,3,1-2 Miles,49,1
84,11084,9/12/1957,80000,2,Partial High School,Skilled Manual,2,1-2 Miles,58,1
85,11085,7/19/1957,60000,2,High School,Professional,2,5-10 Miles,58,0
86,11086,12/23/1957,70000,2,Partial College,Professional,0,0-1 Miles,57,0
87,11087,10/3/1957,70000,3,Partial College,Professional,0,0-1 Miles,57,0
88,11088,11/25/1957,80000,2,Bachelors,Management,0,2-5 Miles,57,1
89,11089,2/5/1957,80000,2,Bachelors,Management,1,2-5 Miles,58,1
90,11090,12/17/1957,90000,2,Partial College,Professional,1,2-5 Miles,57,1
91,11091,4/4/1957,90000,2,Partial College,Professional,1,5-10 Miles,58,0
92,11092,5/6/1967,90000,2,Bachelors,Professional,0,1-2 Miles,48,1
93,11093,9/10/1967,100000,0,Graduate Degree,Management,0,0-1 Miles,48,1
94,11094,4/1/1962,70000,1,Partial College,Skilled Manual,1,0-1 Miles,53,0
95,11095,9/1/1962,70000,1,Partial College,Skilled Manual,1,5-10 Miles,53,1
96,11096,8/10/1962,60000,1,Bachelors,Professional,1,5-10 Miles,53,1
97,11097,10/27/1961,60000,1,Partial College,Skilled Manual,1,5-10 Miles,53,1
98,11098,5/1/1961,60000,1,Partial College,Skilled Manual,1,0-1 Miles,54,0
99,11099,3/8/1961,60000,1,Bachelors,Professional,1,0-1 Miles,54,1
100,11100,9/15/1960,60000,1,Partial College,Skilled Manual,1,5-10 Miles,54,1
101,11101,5/8/1965,70000,0,Bachelors,Professional,1,0-1 Miles,50,1
102,11102,4/21/1965,80000,5,Bachelors,Professional,4,1-2 Miles,50,0
103,11103,10/17/1964,70000,0,Bachelors,Professional,1,5-10 Miles,50,1
104,11104,3/11/1964,70000,0,Bachelors,Professional,1,0-1 Miles,51,1
105,11105,12/28/1964,70000,0,Bachelors,Professional,1,5-10 Miles,50,1
106,11106,9/11/1964,70000,0,Bachelors,Professional,1,5-10 Miles,51,1
107,11107,9/9/1959,90000,1,Bachelors,Professional,1,5-10 Miles,56,1
108,11108,7/14/1963,70000,0,Bachelors,Professional,2,0-1 Miles,52,1
109,11109,11/5/1963,70000,0,Bachelors,Professional,2,0-1 Miles,51,1
110,11110,6/6/1962,60000,1,Partial College,Skilled Manual,1,5-10 Miles,53,1
111,11111,2/23/1962,60000,1,Partial College,Skilled Manual,1,0-1 Miles,53,1
112,11112,9/9/1962,60000,1,Partial College,Skilled Manual,1,0-1 Miles,53,1
113,11113,2/21/1962,70000,5,Bachelors,Professional,2,5-10 Miles,53,0
114,11114,5/28/1962,70000,5,Partial College,Skilled Manual,2,5-10 Miles,53,0
115,11115,2/12/1962,70000,5,Partial College,Skilled Manual,2,0-1 Miles,53,0
116,11116,10/7/1962,70000,5,Partial College,Skilled Manual,2,5-10 Miles,52,0
117,11117,2/21/1961,70000,5,Partial College,Skilled Manual,3,10+ Miles,54,1
118,11118,7/3/1957,80000,1,Partial College,Skilled Manual,1,0-1 Miles,58,0
119,11119,4/10/1935,30000,2,Partial College,Clerical,2,0-1 Miles,80,0
120,11120,8/9/1936,40000,2,Bachelors,Management,1,5-10 Miles,79,1
121,11121,11/18/1960,70000,5,Partial College,Skilled Manual,3,10+ Miles,54,0
122,11122,4/2/1960,70000,5,Partial College,Skilled Manual,3,5-10 Miles,55,0
123,11123,6/20/1960,70000,5,Partial College,Skilled Manual,3,10+ Miles,55,0
124,11124,7/27/1957,80000,1,Partial College,Skilled Manual,1,5-10 Miles,58,1
125,11125,4/8/1956,70000,1,Partial College,Skilled Manual,1,5-10 Miles,59,0
126,11126,4/7/1949,10000,2,High School,Skilled Manual,2,0-1 Miles,66,1
127,11127,10/21/1975,40000,0,High School,Skilled Manual,1,5-10 Miles,39,0
128,11128,12/5/1975,40000,0,High School,Skilled Manual,1,5-10 Miles,39,0
129,11129,8/5/1975,40000,0,High School,Skilled Manual,1,5-10 Miles,40,1
130,11130,1/6/1980,30000,0,High School,Skilled Manual,2,5-10 Miles,35,0
131,11131,3/12/1980,30000,0,High School,Skilled Manual,2,0-1 Miles,35,0
132,11132,10/26/1980,30000,0,High School,Skilled Manual,2,5-10 Miles,34,1
133,11133,9/8/1980,30000,0,Partial High School,Clerical,2,0-1 Miles,35,0
134,11134,2/26/1946,10000,5,High School,Skilled Manual,2,5-10 Miles,69,1
135,11135,11/3/1979,30000,0,Partial High School,Clerical,2,5-10 Miles,35,1
136,11136,10/26/1978,40000,0,High School,Skilled Manual,2,0-1 Miles,36,1
137,11137,7/20/1978,40000,0,High School,Skilled Manual,2,5-10 Miles,37,0
138,11138,9/15/1978,40000,0,High School,Skilled Manual,2,0-1 Miles,36,0
139,11139,11/9/1938,30000,2,Partial College,Clerical,2,5-10 Miles,76,0
140,11140,2/11/1977,30000,0,Partial High School,Clerical,2,5-10 Miles,38,0
141,11141,6/21/1977,40000,0,High School,Skilled Manual,2,0-1 Miles,38,0
142,11142,8/14/1977,40000,0,High School,Skilled Manual,2,0-1 Miles,38,0
143,11143,2/4/1977,40000,0,High School,Skilled Manual,2,5-10 Miles,38,0
144,11144,9/9/1979,40000,0,High School,Skilled Manual,2,0-1 Miles,36,1
145,11145,12/8/1979,40000,0,High School,Skilled Manual,2,0-1 Miles,35,1
146,11146,8/26/1939,40000,2,Bachelors,Management,2,5-10 Miles,76,0
147,11147,2/5/1939,60000,2,Graduate Degree,Management,1,0-1 Miles,76,1
148,11148,8/16/1941,40000,2,Bachelors,Management,2,5-10 Miles,74,0
149,11149,4/20/1941,40000,2,Bachelors,Management,2,0-1 Miles,74,0
150,11150,3/15/1941,40000,2,Bachelors,Management,2,5-10 Miles,74,0
151,11151,2/25/1942,60000,2,Graduate Degree,Management,1,0-1 Miles,73,1
152,11152,1/10/1976,40000,0,High School,Skilled Manual,2,5-10 Miles,39,1
153,11153,6/23/1976,40000,0,High School,Skilled Manual,2,5-10 Miles,39,0
154,11154,8/21/1976,40000,0,Partial College,Skilled Manual,1,5-10 Miles,39,1
155,11155,1/26/1976,40000,0,Partial College,Skilled Manual,1,1-2 Miles,39,1
156,11156,2/7/1976,40000,0,Partial College,Skilled Manual,1,1-2 Miles,39,1
157,11157,6/11/1975,40000,0,High School,Skilled Manual,2,5-10 Miles,40,0
158,11158,10/8/1975,40000,0,High School,Skilled Manual,2,5-10 Miles,39,1
159,11159,9/17/1975,40000,0,High School,Skilled Manual,2,1-2 Miles,39,0
160,11160,1/8/1974,40000,0,Partial College,Skilled Manual,1,5-10 Miles,41,1
161,11161,4/22/1974,40000,0,Partial College,Skilled Manual,1,1-2 Miles,41,0
162,11162,3/5/1974,40000,0,Partial College,Skilled Manual,1,5-10 Miles,41,1
163,11163,12/20/1974,40000,0,Partial College,Skilled Manual,1,5-10 Miles,40,0
164,11164,5/5/1974,40000,0,Partial College,Skilled Manual,1,1-2 Miles,41,0
165,11165,7/18/1973,60000,0,Partial College,Skilled Manual,1,1-2 Miles,42,0
166,11166,4/24/1972,70000,0,Partial College,Skilled Manual,2,0-1 Miles,43,0
167,11167,8/1/1972,80000,0,Bachelors,Management,1,0-1 Miles,43,1
168,11168,5/15/1968,80000,0,Bachelors,Management,1,0-1 Miles,47,1
169,11169,6/22/1968,90000,4,Bachelors,Management,1,0-1 Miles,47,0
170,11170,2/5/1968,90000,4,Bachelors,Management,1,0-1 Miles,47,0
171,11171,10/9/1967,100000,1,Bachelors,Management,2,1-2 Miles,47,1
172,11172,11/21/1967,100000,1,Bachelors,Management,2,1-2 Miles,47,0
173,11173,9/1/1967,110000,0,Graduate Degree,Management,4,0-1 Miles,48,0
174,11174,7/13/1967,110000,0,Graduate Degree,Management,0,2-5 Miles,48,0
175,11175,3/5/1963,70000,0,Partial College,Skilled Manual,2,5-10 Miles,52,1
176,11176,1/25/1968,90000,4,Bachelors,Management,1,1-2 Miles,47,0
177,11177,7/4/1942,110000,2,Graduate Degree,Management,2,5-10 Miles,73,0
178,11178,8/24/1943,100000,2,Graduate Degree,Management,3,1-2 Miles,72,0
179,11179,6/14/1943,120000,2,Graduate Degree,Management,3,5-10 Miles,72,0
180,11180,1/2/1943,160000,1,Bachelors,Management,4,0-1 Miles,72,0
181,11181,8/8/1943,170000,2,Graduate Degree,Management,2,0-1 Miles,72,0
182,11182,8/25/1944,70000,4,Bachelors,Management,2,10+ Miles,71,0
183,11183,7/15/1944,70000,4,Bachelors,Management,2,10+ Miles,71,0
184,11184,11/16/1944,70000,4,Bachelors,Management,2,10+ Miles,70,0
185,11185,10/8/1944,70000,4,Bachelors,Management,2,10+ Miles,70,0
186,11186,5/21/1944,70000,4,Bachelors,Management,2,10+ Miles,71,0
187,11187,2/22/1944,60000,4,Graduate Degree,Management,2,10+ Miles,71,0
188,11188,9/6/1944,60000,4,Graduate Degree,Management,2,1-2 Miles,71,0
189,11189,7/15/1944,60000,4,Graduate Degree,Management,2,10+ Miles,71,1
190,11190,6/22/1944,70000,5,Bachelors,Management,2,10+ Miles,71,0
191,11191,12/18/1945,70000,5,Bachelors,Management,3,10+ Miles,69,1
192,11192,9/13/1945,60000,4,Bachelors,Management,2,2-5 Miles,69,0
193,11193,2/13/1945,60000,4,Bachelors,Management,2,2-5 Miles,70,0
194,11194,6/10/1945,60000,4,Bachelors,Management,2,2-5 Miles,70,0
195,11195,2/10/1946,60000,5,Bachelors,Management,3,10+ Miles,69,0
196,11196,6/7/1946,60000,5,Bachelors,Management,3,10+ Miles,69,0
197,11197,6/18/1946,70000,3,Bachelors,Management,1,1-2 Miles,69,0
198,11198,11/26/1946,70000,4,Bachelors,Management,1,10+ Miles,68,0
199,11199,11/6/1946,70000,4,Bachelors,Management,1,10+ Miles,68,0
200,11200,11/22/1947,70000,4,Bachelors,Management,1,1-2 Miles,67,0
201,11201,8/18/1947,70000,4,Bachelors,Management,1,10+ Miles,68,0
202,11202,8/26/1947,80000,5,Bachelors,Management,2,1-2 Miles,68,0
203,11203,8/21/1948,40000,2,High School,Professional,2,10+ Miles,67,0
204,11204,6/1/1948,40000,2,High School,Professional,2,2-5 Miles,67,0
205,11205,7/24/1948,40000,2,High School,Professional,2,10+ Miles,67,0
206,11206,9/24/1948,60000,2,Partial College,Professional,1,10+ Miles,66,0
207,11207,7/19/1948,60000,2,Partial College,Professional,1,10+ Miles,67,0
208,11208,2/4/1948,60000,2,Bachelors,Management,0,10+ Miles,67,0
209,11209,1/13/1948,60000,2,Bachelors,Management,0,10+ Miles,67,0
210,11210,6/8/1948,70000,4,Partial College,Professional,2,10+ Miles,67,0
211,11211,10/12/1949,40000,2,High School,Professional,2,2-5 Miles,65,0
212,11212,11/5/1949,40000,2,High School,Professional,2,2-5 Miles,65,0
213,11213,5/14/1949,60000,2,Partial College,Professional,2,10+ Miles,66,0
214,11214,11/7/1949,60000,2,Partial College,Professional,2,10+ Miles,65,0
215,11215,6/21/1950,40000,2,Partial High School,Skilled Manual,2,10+ Miles,65,0
216,11216,5/20/1950,60000,2,Partial College,Professional,2,10+ Miles,65,1
217,11217,2/11/1950,60000,2,Partial College,Professional,2,10+ Miles,65,1
218,11218,9/11/1950,60000,2,Partial College,Professional,2,2-5 Miles,65,0
219,11219,12/2/1950,60000,2,High School,Professional,2,10+ Miles,64,0
220,11220,2/23/1950,60000,2,Partial College,Professional,1,10+ Miles,65,0
221,11221,6/10/1950,70000,4,Partial College,Professional,1,1-2 Miles,65,0
222,11222,8/17/1950,80000,3,Bachelors,Management,1,1-2 Miles,65,0
223,11223,9/16/1951,70000,2,High School,Professional,2,2-5 Miles,63,0
224,11224,9/6/1951,70000,2,High School,Professional,2,10+ Miles,64,1
225,11225,2/16/1951,60000,2,Partial College,Professional,1,10+ Miles,64,0
226,11226,9/27/1951,60000,2,Partial College,Professional,1,2-5 Miles,63,0
227,11227,8/12/1951,60000,2,Partial College,Professional,2,10+ Miles,64,1
228,11228,4/19/1951,60000,2,Partial College,Professional,2,10+ Miles,64,0
229,11229,12/3/1951,70000,4,Partial College,Professional,1,10+ Miles,63,0
230,11230,4/3/1951,70000,4,Partial College,Professional,2,2-5 Miles,64,0
231,11231,11/14/1952,60000,2,High School,Professional,2,10+ Miles,62,0
232,11232,9/27/1952,60000,3,High School,Professional,2,2-5 Miles,62,0
233,11233,9/9/1952,70000,4,Partial College,Professional,2,10+ Miles,63,0
234,11234,11/19/1952,70000,4,Partial College,Professional,2,10+ Miles,62,0
235,11235,2/8/1952,70000,4,Partial College,Professional,2,10+ Miles,63,0
236,11236,3/5/1952,70000,5,Partial College,Professional,2,10+ Miles,63,0
237,11237,9/23/1958,130000,2,Bachelors,Management,4,0-1 Miles,56,1
238,11238,8/10/1958,130000,2,Bachelors,Management,4,0-1 Miles,57,1
239,11239,10/6/1958,130000,2,Partial College,Professional,2,5-10 Miles,56,1
240,11240,12/11/1958,160000,2,Partial College,Professional,4,5-10 Miles,56,1
241,11241,10/11/1957,100000,2,Partial College,Professional,4,5-10 Miles,57,1
242,11242,11/11/1957,110000,2,Partial College,Professional,3,5-10 Miles,57,1
243,11243,10/9/1957,150000,2,Partial College,Professional,3,0-1 Miles,57,1
244,11244,11/26/1957,170000,2,Bachelors,Management,3,0-1 Miles,57,1
245,11245,10/27/1956,120000,3,High School,Professional,4,5-10 Miles,58,1
246,11246,10/9/1956,120000,3,High School,Professional,4,5-10 Miles,58,1
247,11247,6/6/1956,130000,3,Partial College,Professional,3,0-1 Miles,59,1
248,11248,3/26/1955,110000,3,Partial College,Professional,4,10+ Miles,60,0
249,11249,7/13/1955,130000,3,Partial College,Professional,3,0-1 Miles,60,1
250,11250,3/12/1955,170000,3,High School,Professional,2,5-10 Miles,60,1
251,11251,7/4/1932,30000,4,High School,Professional,2,5-10 Miles,83,1
252,11252,6/7/1932,90000,3,Graduate Degree,Management,1,2-5 Miles,83,1
253,11253,2/28/1933,60000,2,Graduate Degree,Management,2,1-2 Miles,82,0
254,11254,3/3/1933,70000,4,Graduate Degree,Management,2,5-10 Miles,82,0
255,11255,4/4/1933,70000,4,Graduate Degree,Management,2,5-10 Miles,82,0
256,11256,9/20/1933,70000,4,Graduate Degree,Management,2,5-10 Miles,81,0
257,11257,1/6/1933,120000,1,Graduate Degree,Management,4,2-5 Miles,82,1
258,11258,6/28/1933,120000,1,Graduate Degree,Management,4,2-5 Miles,82,0
259,11259,3/27/1965,100000,4,Partial College,Professional,4,2-5 Miles,50,1
260,11260,4/12/1965,110000,2,Bachelors,Management,3,2-5 Miles,50,0
261,11261,4/24/1965,130000,1,Graduate Degree,Management,1,0-1 Miles,50,1
262,11262,5/4/1964,80000,4,Bachelors,Management,0,0-1 Miles,51,0
263,11263,9/11/1964,90000,5,Partial College,Professional,3,2-5 Miles,51,1
264,11264,6/17/1964,90000,5,Partial College,Professional,3,0-1 Miles,51,1
265,11265,7/13/1964,90000,5,Partial College,Professional,3,0-1 Miles,51,1
266,11266,5/5/1964,90000,0,Partial College,Professional,1,5-10 Miles,51,1
267,11267,10/2/1964,120000,4,Partial College,Professional,4,2-5 Miles,50,1
268,11268,5/3/1964,130000,2,Graduate Degree,Management,2,1-2 Miles,51,0
269,11269,10/13/1964,130000,2,Graduate Degree,Management,2,0-1 Miles,50,0
270,11270,5/4/1964,130000,2,Graduate Degree,Management,3,0-1 Miles,51,1
271,11271,6/5/1964,150000,2,Bachelors,Management,4,1-2 Miles,51,1
272,11272,11/10/1956,70000,4,Partial College,Professional,0,5-10 Miles,58,1
273,11273,10/1/1956,90000,2,Partial College,Professional,0,10+ Miles,58,0
274,11274,4/12/1934,50000,2,Graduate Degree,Management,2,5-10 Miles,81,1
275,11275,1/18/1934,80000,4,Graduate Degree,Management,2,0-1 Miles,81,1
276,11276,9/19/1963,80000,4,Partial College,Professional,2,2-5 Miles,51,0
277,11277,6/10/1963,80000,4,Partial College,Professional,2,0-1 Miles,52,0
278,11278,8/20/1963,90000,0,Partial College,Professional,1,10+ Miles,52,1
279,11279,9/12/1963,90000,0,Partial College,Professional,1,10+ Miles,52,0
280,11280,8/21/1963,90000,0,Partial College,Professional,1,10+ Miles,52,0
281,11281,10/10/1963,110000,4,Bachelors,Management,4,5-10 Miles,51,1
282,11282,1/16/1962,90000,5,Partial College,Professional,4,1-2 Miles,53,1
283,11283,10/26/1962,110000,1,Bachelors,Management,2,1-2 Miles,52,0
284,11284,3/27/1962,110000,1,Bachelors,Management,2,1-2 Miles,53,0
285,11285,3/19/1962,120000,1,Partial College,Professional,4,2-5 Miles,53,0
286,11286,3/3/1962,170000,0,Graduate Degree,Management,4,2-5 Miles,53,1
287,11287,1/16/1961,70000,5,Partial College,Professional,3,5-10 Miles,54,0
288,11288,9/16/1961,110000,1,Bachelors,Management,3,2-5 Miles,53,0
289,11289,3/7/1961,130000,1,Bachelors,Management,1,0-1 Miles,54,1
290,11290,8/18/1961,130000,1,Bachelors,Management,3,2-5 Miles,54,1
291,11291,5/5/1961,130000,1,Bachelors,Management,3,2-5 Miles,54,1
292,11292,11/5/1961,150000,1,Partial College,Professional,3,0-1 Miles,53,1
293,11293,5/27/1955,60000,2,High School,Professional,2,1-2 Miles,60,0
294,11294,9/3/1955,60000,2,High School,Professional,2,1-2 Miles,60,0
295,11295,5/16/1954,80000,2,Partial High School,Skilled Manual,2,5-10 Miles,61,1
296,11296,10/7/1935,50000,2,Graduate Degree,Management,2,5-10 Miles,79,1
297,11297,2/2/1935,70000,4,Graduate Degree,Management,2,5-10 Miles,80,1
298,11298,3/3/1935,70000,4,Graduate Degree,Management,2,1-2 Miles,80,1
299,11299,4/1/1936,70000,4,Graduate Degree,Management,2,1-2 Miles,79,1
300,11300,3/3/1960,80000,5,Partial College,Professional,3,1-2 Miles,55,0
301,11301,6/9/1960,80000,5,Partial College,Professional,4,5-10 Miles,55,0
302,11302,12/12/1960,90000,4,High School,Professional,3,1-2 Miles,54,1
303,11303,10/11/1960,90000,4,High School,Professional,3,1-2 Miles,54,1
304,11304,3/17/1960,100000,0,Partial College,Professional,0,5-10 Miles,55,0
305,11305,6/19/1960,110000,3,Partial College,Professional,4,2-5 Miles,55,0
306,11306,6/22/1960,110000,3,Partial College,Professional,4,2-5 Miles,55,0
307,11307,11/4/1954,80000,2,Partial High School,Skilled Manual,2,5-10 Miles,60,1
308,11308,3/5/1954,60000,2,High School,Professional,2,1-2 Miles,61,0
309,11309,6/12/1954,60000,2,High School,Professional,2,5-10 Miles,61,0
310,11310,7/9/1953,70000,3,Graduate Degree,Management,2,5-10 Miles,62,0
311,11311,8/24/1953,70000,3,Graduate Degree,Management,2,1-2 Miles,62,0
312,11312,4/3/1953,70000,3,Graduate Degree,Management,2,5-10 Miles,62,0
313,11313,2/27/1953,70000,3,Graduate Degree,Management,2,5-10 Miles,62,0
314,11314,12/21/1953,70000,3,Graduate Degree,Management,2,1-2 Miles,61,0
315,11315,10/1/1953,70000,3,Graduate Degree,Management,2,1-2 Miles,61,0
316,11316,11/17/1953,60000,3,Graduate Degree,Management,2,5-10 Miles,61,1
317,11317,9/17/1952,40000,3,Partial College,Professional,2,5-10 Miles,62,1
318,11318,10/26/1952,40000,3,Partial College,Professional,2,1-2 Miles,62,0
319,11319,4/27/1937,70000,4,Graduate Degree,Management,2,1-2 Miles,78,1
320,11320,6/26/1937,80000,4,Graduate Degree,Management,2,5-10 Miles,78,0
321,11321,7/8/1938,90000,5,Bachelors,Management,2,5-10 Miles,77,0
322,11322,3/15/1938,90000,5,Bachelors,Management,2,5-10 Miles,77,0
323,11323,6/20/1938,120000,2,Graduate Degree,Management,3,5-10 Miles,77,1
324,11324,5/14/1939,90000,5,Bachelors,Management,2,1-2 Miles,76,1
325,11325,7/2/1939,90000,5,Bachelors,Management,2,5-10 Miles,76,1
326,11326,6/26/1939,130000,2,Bachelors,Management,4,0-1 Miles,76,1
327,11327,3/4/1940,90000,5,Bachelors,Management,2,5-10 Miles,75,1
328,11328,1/1/1940,90000,5,Bachelors,Management,2,5-10 Miles,75,1
329,11329,7/25/1940,90000,5,Bachelors,Management,2,5-10 Miles,75,1
330,11330,5/13/1940,110000,2,Graduate Degree,Management,1,2-5 Miles,75,0
331,11331,7/6/1968,90000,4,Partial College,Skilled Manual,2,1-2 Miles,47,0
332,11332,10/4/1962,10000,1,Graduate Degree,Manual,0,0-1 Miles,52,1
333,11333,7/10/1962,20000,1,Graduate Degree,Clerical,0,0-1 Miles,53,1
334,11334,3/22/1961,10000,1,Bachelors,Manual,0,0-1 Miles,54,1
335,11335,6/24/1961,10000,1,Bachelors,Manual,0,0-1 Miles,54,1
336,11336,3/12/1962,20000,1,Graduate Degree,Clerical,0,0-1 Miles,53,1
